org_name,org_type,sido,sigungu,homepage_url
서울특별시청,local_gov,서울특별시,,https://www.seoul.go.kr
부산광역시청,local_gov,부산광역시,,https://www.busan.go.kr
대구광역시청,local_gov,대구광역시,,https://www.daegu.go.kr
인천광역시청,local_gov,인천광역시,,https://www.incheon.go.kr
광주광역시청,local_gov,광주광역시,,https://www.gwangju.go.kr
대전광역시청,local_gov,대전광역시,,https://www.daejeon.go.kr
울산광역시청,local_gov,울산광역시,,https://www.ulsan.go.kr
세종특별자치시청,local_gov,세종특별자치시,,https://www.sejong.go.kr
경기도청,local_gov,경기도,,https://www.gg.go.kr
충청북도청,local_gov,충청북도,,https://www.chungbuk.go.kr
충청남도청,local_gov,충청남도,,https://www.chungnam.go.kr
전라남도청,local_gov,전라남도,,https://www.jeonnam.go.kr
경상북도청,local_gov,경상북도,,https://www.gb.go.kr
경상남도청,local_gov,경상남도,,https://www.gyeongnam.go.kr
제주특별자치도청,local_gov,제주특별자치도,,https://www.jeju.go.kr
수원시청,local_gov,경기도,수원시,https://www.suwon.go.kr
성남시청,local_gov,경기도,성남시,https://www.seongnam.go.kr
고양시청,local_gov,경기도,고양시,https://www.goyang.go.kr
용인시청,local_gov,경기도,용인시,https://www.yongin.go.kr
청주시청,local_gov,충청북도,청주시,https://www.cheongju.go.kr
전주시청,local_gov,전북특별자치도,전주시,https://www.jeonju.go.kr
포항시청,local_gov,경상북도,포항시,https://www.pohang.go.kr
창원시청,local_gov,경상남도,창원시,https://www.changwon.go.kr
